#
# Reasons.csv for "Dark Tower: All Hail" LARP.
#
# Used to build Reasons (rID<->rName) global map and Reasons to Emotions (rID->eID) global map.
#
# Generated by EmotionProcessor.py
#
# !!! DO NOT EDIT !!!
#
# Generated at 2018-04-01 02:24:06
#
rID,rName,level,timeout,doganAmount,eID,eName
31,FEAR_PLACE,2,15,0,,
32,FORM_KATET,0,0,0,,FATE_VOICE
33,GERRARO,2,10,0,,GERRARO
34,GUNSLINGER_FEELING,3,600,0,,GUNSLINGER_FEELING
35,HYPNOSIS,0,0,0,,HYPNOSIS
36,INFLUENCE_AT_DOGAN,0,0,0,,
37,INN,2,10,0,,INN
38,KATET_NEAR,1,5,0,,HEART
39,LION,1,15,3,,LION
40,MANNI,3,10,0,,MANNI
41,MASTERKA,2,300,0,,MASTERKA
42,MASTER_ALIVE,0,0,0,,
43,MASTER_CANCEL_CORRUPT,0,0,0,,
44,MASTER_CRIMSON,0,0,0,,
45,MASTER_WHITE,0,0,0,,
46,MORANO,2,10,0,,MORANO
47,NEUTRALIZE,0,0,0,,
48,PERSON_NEAR,1,1,0,,
49,REBOOT,0,0,0,,TISHINA
50,RESET,0,0,0,,TISHINA
51,ROSE,1,15,5,,ROSE
52,SHOW_DOGAN_STATE,0,0,0,,
53,SQUARE,2,10,0,,SQUARE
54,THINNY,2,15,0,,THINNY
55,TIMELINE_GATHERING,3,600,0,,TIMELINE_GATHERING
56,TIMELINE_TRAIN,3,600,0,,TIMELINE_TRAIN
57,TIMELINE_TRAIN_ARRIVING,3,600,0,,TIMELINE_TRAIN_ARRIVING
58,TOWNHOUSE,2,10,0,,TOWNHOUSE
59,WHITE_FEELING,3,600,0,,
60,WHITE_JOY,3,0,0,,WHITE_JOY
61,WHITE_MESSENGER,1,15,0,,WHITE_GLORY
62,WHITE_SORROW,0,0,0,,WHITE_SORROW
63,PLACEHOLDER_63,0,0,0,,
64,PLACEHOLDER_64,0,0,0,,
65,PLACEHOLDER_65,0,0,0,,
66,PLACEHOLDER_66,0,0,0,,
67,PLACEHOLDER_67,0,0,0,,
68,PLACEHOLDER_68,0,0,0,,
69,PLACEHOLDER_69,0,0,0,,
70,PLACEHOLDER_70,0,0,0,,
71,PLACEHOLDER_71,0,0,0,,
72,PLACEHOLDER_72,0,0,0,,
73,PLACEHOLDER_73,0,0,0,,
74,PLACEHOLDER_74,0,0,0,,
75,PLACEHOLDER_75,0,0,0,,
76,PLACEHOLDER_76,0,0,0,,
77,PLACEHOLDER_77,0,0,0,,
78,PLACEHOLDER_78,0,0,0,,
79,PLACEHOLDER_79,0,0,0,,
80,PLACEHOLDER_80,0,0,0,,
81,PLACEHOLDER_81,0,0,0,,
82,PLACEHOLDER_82,0,0,0,,
83,PLACEHOLDER_83,0,0,0,,
84,PLACEHOLDER_84,0,0,0,,
85,PLACEHOLDER_85,0,0,0,,
86,PLACEHOLDER_86,0,0,0,,
87,PLACEHOLDER_87,0,0,0,,
88,PLACEHOLDER_88,0,0,0,,
89,PLACEHOLDER_89,0,0,0,,
90,PLACEHOLDER_90,0,0,0,,
91,PLACEHOLDER_91,0,0,0,,
92,PLACEHOLDER_92,0,0,0,,
93,PLACEHOLDER_93,0,0,0,,
94,PLACEHOLDER_94,0,0,0,,
95,PLACEHOLDER_95,0,0,0,,
96,PLACEHOLDER_96,0,0,0,,
97,PLACEHOLDER_97,0,0,0,,
98,PLACEHOLDER_98,0,0,0,,
99,PLACEHOLDER_99,0,0,0,,
100,JRight,0,0,0,,
101,CRandall,0,0,0,,
102,RDias,0,0,0,,
103,DRice,0,0,0,,
104,AFlores,0,0,0,,
105,Isaak,0,0,0,,
106,Cordelia,0,0,0,,
107,SJames,0,0,0,,
108,FPibody,0,0,0,,
109,RHarris,0,0,0,,
110,KMurray,0,0,0,,
111,PSayer,0,0,0,,
112,JKuroki,0,0,0,,
113,RRobin,0,0,0,,
114,ALaiden,0,0,0,,
115,CBendetsen,0,0,0,,
116,BKuroki,0,0,0,,
117,AHarmett,0,0,0,,
118,ASExupery,0,0,0,,
119,RParkinson1,0,0,0,,
120,JMcArthur,0,0,0,,
121,CTramunti,0,0,0,,
122,LEsposito,0,0,0,,
123,SCaracapa,0,0,0,,
124,SKuroki,0,0,0,,
125,SGerraro,0,0,0,,
126,MGerraro,0,0,0,,
127,RGerraro,0,0,0,,
128,EGerraro,0,0,0,,
129,GGerraro,0,0,0,,
130,GMorano,0,0,0,,
131,LMorano,0,0,0,,
132,EMorano,0,0,0,,
133,AMorano,0,0,0,,
134,CMorano,0,0,0,,
135,AlMorano,0,0,0,,
136,Rob,0,0,0,,
137,DJamison,0,0,0,,
138,SJamison,0,0,0,,
139,ESatton,0,0,0,,
140,DSatton,0,0,0,,
141,LSatton,0,0,0,,
142,RParkinson,0,0,0,,
143,WBray,0,0,0,,
144,HBray,0,0,0,,
145,BCassidy,0,0,0,,
146,SWinch,0,0,0,,
147,DWinch,0,0,0,,
148,Ruth,0,0,0,,
149,Seven,0,0,0,,
150,SKing,0,0,0,,
151,MParker,0,0,0,,
152,Samantha,0,0,0,,
153,RMcCoy,0,0,0,,
